filename,startTime,delta,strokerate,heartrate,distance
20250516-154119.pb,1747410079,0,0.0,0.0,0.0
20250516-154119.pb,1747410079,2008,0.06476190476190477,0.0,0.0
20250516-154119.pb,1747410079,3018,0.13142857142857142,0.0,0.0
20250516-154119.pb,1747410079,4698,0.1980952380952381,0.0,0.0
20250516-154119.pb,1747410079,6408,0.26476190476190475,0.0,0.0
20250516-154119.pb,1747410079,8118,0.26476190476190475,0.0,0.0
20250516-154119.pb,1747410079,10118,0.2,0.0,0.0
20250516-154119.pb,1747410079,12118,0.17904761904761907,0.0,0.0
20250516-154119.pb,1747410079,13008,0.15809523809523812,0.0,0.0
20250516-154119.pb,1747410079,14488,0.09142857142857144,0.0,0.0
20250516-154119.pb,1747410079,16490,0.09142857142857144,0.0,0.0
20250516-154153.pb,1747410113,0,0.09142857142857144,0.09473684210526315,0.0
20250516-154153.pb,1747410113,2003,0.045714285714285735,0.1847953216374269,0.0
20250516-155815.pb,1747411095,0,0.06857142857142859,0.27017543859649124,0.0
20250516-155815.pb,1747411095,1618,0.06857142857142859,0.37660818713450295,0.0
20250516-155815.pb,1747411095,3117,0.06857142857142859,0.4818713450292398,5.092809221572892e-05
20250530-073626.pb,1748590586,0,0.2666666666666667,0.4912280701754386,0.0001307283282341292
20250530-073626.pb,1748590586,1239,0.4628571428571429,0.504093567251462,0.0002733827947611654
20250530-073626.pb,1748590586,1811,0.540952380952381,0.5216374269005848,0.00048076087137797704
20250530-073626.pb,1748590586,2469,0.6704761904761904,0.5181286549707602,0.0007486207466266647
20250530-073626.pb,1748590586,3609,0.7923809523809524,0.5204678362573099,0.0010280521054980456
20250530-073626.pb,1748590586,4751,0.7123809523809524,0.527485380116959,0.0013834229250048976
20250530-073626.pb,1748590586,5931,0.6323809523809525,0.543859649122807,0.0017352472867556853
20250530-073626.pb,1748590586,7090,0.6019047619047619,0.5614035087719298,0.0021573890770221833
20250530-073626.pb,1748590586,8199,0.47238095238095246,0.5766081871345029,0.002648771354561944
20250530-073626.pb,1748590586,10199,0.35047619047619055,0.5754385964912281,0.0032153445314954702
20250530-073626.pb,1748590586,12208,0.23238095238095244,0.5695906432748539,0.003811008188152962
20250530-073626.pb,1748590586,14208,0.11619047619047625,0.5590643274853802,0.004487399966244966
20250530-073626.pb,1748590586,16208,4.4408920985006264e-17,0.5473684210526317,0.005070236843375086
20250530-073626.pb,1748590586,18209,0.09523809523809527,0.5438596491228072,0.0055861967705015695
20250530-073626.pb,1748590586,18598,0.19047619047619052,0.5555555555555556,0.006106529242021594
20250530-073626.pb,1748590586,19788,0.24380952380952384,0.568421052631579,0.006591662906842111
20250530-073626.pb,1748590586,21792,0.29523809523809524,0.5719298245614036,0.00705758768915216
20250530-073626.pb,1748590586,22970,0.3466666666666667,0.5754385964912282,0.007482026333818609
20250530-073626.pb,1748590586,24974,0.3028571428571428,0.5730994152046784,0.007968553916995972
20250530-073626.pb,1748590586,25129,0.2076190476190476,0.5707602339181288,0.008442864534911
