filename,startTime,delta,strokerate,heartrate,distance
Lina_20250516-154119.pb,1747410079,0,0.0,0.0,0.07200341301215735
Lina_20250516-154119.pb,1747410079,2008,0.03502785505124752,0.02999205988886254,0.0
Lina_20250516-154119.pb,1747410079,3018,0.26482724846053374,0.0,0.0
Lina_20250516-154119.pb,1747410079,4698,0.06506908269677233,0.10375853980156809,0.07402039787124692
Lina_20250516-154119.pb,1747410079,6408,0.15956468605530422,0.09187207179499596,0.11941760021588409
Lina_20250516-154119.pb,1747410079,8118,0.38177639848054395,0.0,0.0
Lina_20250516-154119.pb,1747410079,10118,0.26891279820900427,0.0,0.01652868564660545
Lina_20250516-154119.pb,1747410079,12118,0.2167872880678691,0.0,0.0
Lina_20250516-154119.pb,1747410079,13008,0.2691727458551566,0.14613913995255054,0.0
Lina_20250516-154119.pb,1747410079,14488,0.12835888010385993,0.007154784821872153,0.09582193338206124
Lina_20250516-154119.pb,1747410079,16490,0.10601915382933774,0.0,0.029506137897179548
Lina_20250516-154153.pb,1747410113,0,0.2085706892215128,0.14639222831220694,0.03526336516663144
Lina_20250516-154153.pb,1747410113,2003,0.0,0.14100903411520055,0.20486133252369718
Lina_20250516-155815.pb,1747411095,0,0.012097946415985286,0.2224972753354121,0.08064426423856627
Lina_20250516-155815.pb,1747411095,1618,0.0,0.2357898374024683,0.0
Lina_20250516-155815.pb,1747411095,3117,0.14965619748140993,0.41822267221566534,0.18730984471523907
Lina_20250530-073626.pb,1748590586,0,0.3912200582318369,0.5342232830126491,0.0
Lina_20250530-073626.pb,1748590586,1239,0.507330096999763,0.6207218467357039,0.05321880035813344
Lina_20250530-073626.pb,1748590586,1811,0.6232840374576682,0.5224436046600275,0.0
Lina_20250530-073626.pb,1748590586,2469,0.6654752660996387,0.47338761400712315,0.007384452124422693
Lina_20250530-073626.pb,1748590586,3609,0.805326983936404,0.7002292462238653,0.0
Lina_20250530-073626.pb,1748590586,4751,0.5459697119950419,0.5705061921998915,0.0
